Airport_ID,Name,Type,IATA
41597,La Chorrera Airport,small_airport,LCR
32342,Las Cruces Airport,small_airport,SNT
35319,Tarapacá Airport,small_airport,TCD
1401,Bar River Airport,small_airport,YEB
302208,Cape Orford Airport,small_airport,CPI
28357,Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,seaplane_base,YSI
1465,Poplar Hill Airport,small_airport,YHP
1466,Keewaywin Airport,small_airport,KEW
44427,Sable Island Landing Strip,small_airport,YSA
1521,Lebel-sur-Quevillon Airport,small_airport,YLS
1531,Snap Lake Airport,small_airport,YNX
1556,La Sarre Airport,small_airport,SSQ
1563,Chisasibi Airport,small_airport,YKU
17042,Rentschler Heliport,heliport,EHT
1590,Tête-à-la-Baleine Airport,small_airport,ZTB
1604,Kegaska Airport,small_airport,ZKG
28194,Chute-Des-Passes/Lac Margane Seaplane Base,seaplane_base,YWQ
1608,Donaldson Airport,small_airport,YAU
1617,La Romaine Airport,small_airport,ZGS
1618,Fontanges Airport,small_airport,YFG
28283,Lac Gagnon Seaplane Base,closed,YGA
1619,La Tabatière Airport,small_airport,ZLT
42278,Preston Airport,small_airport,PST
316499,Culion Airport,small_airport,CUJ
